"Aldh3b1",147,67,68,212,74,81,179,167,9,114,246,8,268,103,75
"Aldh5a1",282,61,99,230,91,82,136,125,7,116,290,16,160,194,83
"Aldoa",3724,1451,1412,3465,1082,1442,2294,1955,175,2098,3273,174,3214,2376,1511.999
"Aldoc",3781,1597,1628,3579,1056,1764,1958,1829,204,2114,3758,215,2756,2477,1395
"Alg2",360,145,123,308,91,110,239,199,21,200,330,24,278,169,124
"Alg3",50,33,30,55,16,30,46,35,4,11,85,0,54,47,19
"Alg5",68,22,41,68,24,37,25,19,2,24,90,0,60,36,26
"Alkbh2",43,7,22,44,7,15,12,1,0,10,43,4,18,33,6
"Alkbh3",53,27,42,70,12,26,75,34,8,34,141,0,86,57,41
"Alkbh6",111,8,23,56,9,24,30,12,6,23,71,1,55,32,12
"Alkbh7",163,55,60,119,40,69,82,92,6,75,151,10,176,125,81
"Alox5ap",38,1,14,9,7,1,3,30,0,0,35,2,30,22,11
"Alyref",147,59,37,96,48,69,100,74,2,53,102,7,152,107,58
"Amd1",1089,440,389,1183,441,417,610,529,79,648,1657,93,1011,769,379
"Amdhd2",77,20,35,67,10,52,38,19,4,21,69,3,33,66,51
"Amfr",254,86,148,173,70,71,126,106,16,158,192,6,182,112,105
"Amhr2",49.012,72.878,28.93,168.738,56.619,10.312,32.845,70.771,12.021,0,151.08,5.716,126.177,39.959,24.252
"Amigo1",276,148,177,251,91,168,178,73,26,137,422,26,239,220,144
"Amph",675,165,253,401,138,250,290,196,45,208,576,39,368,246,198
"Amz2",243,170,138,295,84,150,164,240,21,140,505,16,203,170,166
"Anapc11",975.784,351.937,381.822,866.416,231.056,331.25,621.257,457.113,62.574,530.622,1079.433,43.262,857.724,527.754,266.373
"Anapc13",262,84,65,269,63,98,112,112,17,92,306,5,314,132,81
"Anapc15",82,1,15,47,15,34,12,28,1,42,50,3,15,26,11
"Anapc2",209,70,75,235,60,118,116,92,10,86,166,15,146,118,67
"Anapc4",267,80,67,184,77,81,121,121,12,86,284,12,171,105,77
"Anapc5",277,133,88,229,110,188,171,137,18,144,310,19,211,140,145
"Anapc7",827.011,249.022,286.001,496,188,377.004,447.999,334.016,61,396,896.044,51,402.012,504.001,355.001
"Ank1",179,68,45,310,58,63,75,87,14,85,224,8,150,134,63
"Ank2",675.541,262.159,263.075,901.198,236.097,279.738,364.287,396.008,32,477.214,525.397,35,558.004,408.055,251.137
"Ank3",2116.967,577,878.999,2644,626,528,1111,1145,105,917.999,1974,108,1442.999,1023,592.072
"Ankmy1",240.183,109,140.291,264,84,135.287,133.697,161,25,103.802,264.033,10,162.156,138,138.372
"Ankmy2",307,228,195,353,101,248,234,152,37,183,436,22,288,226,177
"Ankra2",69,20,18,47,7,32,34,18,5,25,55,6,56,21,18
"Ankrd10",116.856,16,45,118.141,38.316,44.834,71.165,41.552,9,31.341,167.271,2.26,72.598,111.438,25
"Ankrd13d",204,89,59,155,56,85,120,96,16,73,207,7,126,188,76
"Ankrd24",147.012,95.001,67.001,119.209,49.002,64.001,99,72.004,6,117.002,244.05,15,160.223,73,43.116
"Ankrd27",187.682,75.068,105.212,180.534,78.413,106.062,114.248,96.539,15.089,77.266,318.67,15.978,210.738,131.347,62.046
"Ankrd34a",333.123,160.811,94,267.742,81.489,131.885,211.7,165,23.001,149.702,286,18,301.998,216.918,94.265
"Ankrd37",5,14,1,35,8,3,6,4,1,8,5,1,30,2,6
"Ankrd40",238,58,86,306,55,32,97,163,9,124,242,2,167,128,55
"Ankrd46",776,297,326,673,182,399,568,360,53,380,1069,44,725,460,285
"Ankrd6",124.807,61.098,88,142.91,51,90,67.001,106.039,10,95.07,219.457,16,140.91,137,53
"Anks1b",633.827,167,170.052,493.182,140.962,221.43,323.693,275.409,32,262.822,590.668,29.023,374.06,305.407,180.994
"Anks3",202,57,48,90,70,99.999,77,55,12,80,168.999,6,147.001,67,45
"Ano10",255,128,132,325,78,102,168,208,9,114,272,22,251,134,123
"Ano8",128,63,45,71,24,67,149,67,6,82,152,7,99,76,41
"Anp32a",38,13,22,33,16,15,12,24,1,7,29,3,28,29,5
"Anp32b",209,41,55,144,43,36,66,100,14,88,184,4,152,74,39
"Anp32e",219,26,71,150,40,69,66,59,8,55,210,1,161,115,35
"Antkmt",216,110,122,176,57,130,102,156,7,135,258,24,185,167,116
"Anxa11",458,142,233,338,143,235,265,285,27,215,478,23,281,272,141
"Anxa2",39,4,21,9,11,22,27,19,3,11,56,0,15,51,10
"Anxa3",130,49,56,114,28,73,78,39,22,64,157,11,156,93,62
"Anxa4",131,58,50,182,33,45,71,54,8,76,236,11,125,44,59
"Anxa5",224,106,115,262,72,103,143,105,13,159,329,12,165,186,55
"Anxa6",312,215,213,576,136,124,187,176,38,276,422,17,463,318,160
"Ap1ar",265,54.973,72.116,277.002,60.746,92.042,122.36,138,10,125.707,272.434,14.734,199.22,127.664,60.811
"Ap1b1",386,181,233,375,93,185,232,207,38,197,496,35,354,249,198
"Ap1m1",125,66,65,188,62,74,131,85,5,87,129,7,158,95,70
"Ap1s1",866,312,291,653,223,254,336,282,60,306,879,62,666,397,276
"Ap1s2",82,68,50,55,19,39,61,63,1,81,68,5,114,65,26
"Ap2a2",397,85,140,303,108,152,235,219,43,183,376,20,318,200,134
"Ap2b1",2182.974,855,803,2298,491,843,1102,972,150,896,2401,133,2063,979,665
"Ap2s1",892,543,494,883,223,516,589,499,80,471,1100,44,656,536,403
"Ap3b2",628,186,352,635,175,313,268,174,38,224,776,42,416,280,235
"Ap3d1",638,305,351,575,208,291,341,276,40,350,721,32,529,379,247
"Ap3m2",462,198,228,467,107,205,257,246,32,198,631,19,302,295,185
"Ap3s1",60,37,55,56,26,13,65,26,4,44,67,6,40,62,13
"Ap3s2",142,39,38,124,35,50,83,61,8,64,136,5,69,72,36
"Ap4b1",55,50,31,70,37,34,64,15,12,60,130,3,96,44,47
"Ap4s1",58,41,5,31,15,21,24,19,3,14,38,2,36,22,15
"Apba1",801.001,215,444.022,1232.01,268.124,285,482,479,45,444.008,910.81,41,764.07,483,286.052
"Apba2",872.075,379,403.002,765,257,473.096,529,448,46.027,405.151,968.001,59,757,536,228.027
"Apbb1",1496,614,582,1014,421,633,715,655,73,869,1286,73,1197,711,457
"Apbb3",74,20,26,99,25,59,59,50,5,43,74,2,60,63,24
"Apc",1138.038,148.491,179.213,843.948,185.753,228.875,376.386,389.196,38.718,341.264,939.196,37.841,732.686,343.069,164.048
"Apeh",53,23,30,126,23,45,76,46,6,34,118,10,70,66,35
"Apex1",112,55,37,133,32,42,66,80,6,43,135,7,118,62,22
"Aph1a",514,118,193,253,90,164,184,228,29,253,309,31,503,254,131
"Apip",75,11,7,31,12,4,25,19,1,21,25,0,53,17,10
"Apln",77,56,27,172,45,55,47,69,5,90,95,5,108,82,41
"Aplnr",282.224,167.614,53.564,74.317,112.001,24.611,127.731,122.524,20.111,124.4,265.111,19.12,214.404,125.332,68.642
"Aplp1",2099,705,789,1717,477,788,958,997,102,1003,1800,97,1531,1017,517
"Aplp2",528,229,251,500,196,263,415,320,28,306,626,45,415,523,271
"Apmap",74,17,30,107,26,26,37,67,2,31,98,9,69,35,22
"Apobec1",671.485,88.108,96.662,269.583,123.839,26.608,240.589,238.227,15.604,198.658,227.843,24.844,356.952,66.972,72.642
"Apoc1",30,2,9,66,9,28,17,16,4,7,20,1,14,3,15
"Apoc3",0,11,0,63,0,7,26,5,1,4,0,1,20,5,4
"Apoc4",5,5,3,27,0,0,8,2,0,6,9,1,5,7,6
"Apod",870,292,274,587,168,126,415,609,31,508,416,38,1013,300,146
"Apoe",15391,5878,5583,11868,3677,6690,8292,6419,682,6937,12336.001,749,11761,7792,5149
"Apold1",410,95.004,230,108,53,105,95.001,88,31,156,299.005,28,140,297,176
"Apoo",79,32,14,118,25,18,38,55,6,48,100,4,67,48,29
"App",3339,529,565,2881,782,535,841,1029,131,948,2473,147,2393,887,379
"Appbp2",939.502,261.384,257.238,787.01,296.228,274.591,410.466,403.367,43.537,332.354,854.482,56.533,779.918,363.273,226.058
"Aprt",52,5,8,61,19,21,17,21,2,12,104,2,47,17,6
"Araf",58,22,14,66,25,44,46,31,8,26,73,3,57,23,11
"Arf1",1551,486,474,1206,327,670,958,807,70,800,1664,87,1216,772,453
"Arf2",108,26,61,92,26,57,86,50,11,70,137,1,109,77,30
"Arf3",2981,1272,1322,2662,797,1422,1812,1400,145,1595.999,2949,161,2582,1849,1036
"Arf5",4535,2661,2162,4096,1347,2671,3305,2783,299,2986,5295,298,3989,3932,2363
"Arf6",131,48,49,105,19,43,68,70,5,114,126,10,79,116,41
"Arfgap1",498,216,281,600,152,328,330,276,46,261,696,55,464,438,252
"Arfgef1",443,126,115,404,148,186,217,246,22,137,518,34,446,282,101
"Arfip2",217,47,111,218,67,102,103,86,19,92,227,23,147,129,84
"Arfrp1",546,200,191,478,141,256,303,273,25,219,517,25,485,203,230
"Arglu1",178,112,105,274,65,103,124,84,25,126,233,15,156,97,100
"Arhgap1",124,50,51,148,60,71,147,102,7,81,158,5,111,122,42
"Arhgap21",332,117,93,219,76,179,147,98,19,118,312,9,269,194,111
"Arhgap23",133,65,108,237,51,119,88,165,8,113,158,8,173,107,65
"Arhgap44",252,53,51,231,68,93,77,102,8,80,187,11,171,130,57
"Arhgdia",318,155,121,281,86,162,214,234,23,224,375,25,275,176,126
"Arhgdib",18,8,10,26,16,14,13,36,3,13,19,1,27,31,4
"Arhgdig",327,100,122,348,72,122,155,192,15,123,337,18,282,172,102
"Arhgef10l",89,65,42,152,24,79,83,95,11,48,119,12,87,108,41
"Arhgef17",1150.18,472.035,630.152,1054.536,316.002,456.007,677.044,642.724,127.174,496.74,1449.188,86.976,1001.159,808.006,808.19
"Arhgef2",226,73,65,184,104,173,132,117,13,93,222,12,230,127,66
"Arhgef25",1682,761,839,1763,464,702,1013,892,102,977,1810,111,1433,804,660
"Arhgef3",250,83,40,246,49,73,120,127,19,152,247,10,268,95,48
"Arhgef4",568,267,232,541,173,260,323,276,41,242,590,40,357,402,243
"Arhgef7",209,91,101,152,47,116,84,49,12,108,261,10,113,137,90
"Arhgef9",1061,218,153,1483,327,251,355,498,47,276,933,32,782,402,123
"Arih2",301,60,101,215,59,92,111,148,20,94,404,14,256,108,76
"Arl14ep",133.685,40.879,54.775,98.582,48.927,41.551,84.325,74.686,12.003,54.08,166.565,4.316,121.201,108.645,40.9
"Arl16",39,18,21,38,21,4,22,25,6,34,26,2,50,24,17
"Arl2",224,100,108,252,78,96,143,80,13,150,160,11,153,149,96
"Arl2bp",832,461,436,951,308,401,635,402,43,405,802,62,956,738,392
"Arl3",1008,553,340,1016,330,418,655,557,68,454,1227,76,962,565,389
"Arl4c",319,136,99,277,103,195,210,181,24,156,450,26,332,204,86
"Arl5a",329,84,117,422,98,87,316,111,20,247,334,15,255,130,105
"Arl5c",105.949,9.857,24.547,86.224,50.512,27.672,14.887,36.349,0,26.358,97.051,11.227,66.626,9.73,25.169
"Arl6ip1",164,53,65,198,77,84,170,75,9,77,226,14,242,109,47
"Arl6ip4",367,93,111,195,60,91,115,132,26,131,376,11,188,189,94
"Arl6ip5",637,129,125,554,223,151,272,231,59,195,799,39,590,295,113
"Arl8a",1783,281,302,1418,370,300,519,652,67,758,1113,51,1318,513,257
"Arl8b",547,373,348,518,148,337,303,260,45,428,762,42,335,436,258
"Armc1",180,56,57,201,66,76,77,172,6,109,160,13,178,157,54
"Armc10",198,53,50,136,70,58,81,129,7,121,212,19,169,134,52
"Armc9",176.676,58.403,79.384,84.885,52.444,71.714,84.791,30.919,15.125,66.017,112.673,8,118.555,127.117,64.62
"Armcx2",444,179,191,512,173,178,292,222,33,234,637,20,534,298,145
"Armcx6",44,21,32,51,9,36,30,19,8,23,74,4,26,45,30
